Country,WorkExp,EdLevel,DevType,RemoteWork,Age,OrgSize,LanguageHaveWorkedWith,ConvertedCompYearly
United States of America,25.0,Some college/university study without earning a degree,"Developer, back-end",Remote,35-44 years old,Less than 20 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,155000.0
Austria,1.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Academic researcher,"Hybrid (some remote, leans heavy to in-person)",18-24 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,38981.0
Brazil,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",Remote,18-24 years old,20 to 99 employees,HTML/CSS;JavaScript;TypeScript,41765.0
Germany,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,100 to 499 employees,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,116015.0
United Kingdom of Great Britain and Northern Ireland,24.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Senior executive (C-suite, VP, etc.)",In-person,45-54 years old,Less than 20 employees,C#;HTML/CSS;JavaScript;Python;Visual Basic (.Net),136141.0
Ukraine,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,"10,000 or more employees",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL,22456.0
United States of America,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,18-24 years old,20 to 99 employees,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;F#;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Prolog;Python;SQL;VBA,70000.0
United States of America,17.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices","Hybrid (some remote, leans heavy to in-person)",35-44 years old,"10,000 or more employees",C++;Python,140000.0
Argentina,8.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",Remote,25-34 years old,"5,000 to 9,999 employees",HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,78000.0
Germany,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,"Hybrid (some in-person, leans heavy to flexibility)",18-24 years old,"5,000 to 9,999 employees",C;COBOL;Java;Python;SQL,63808.0
Switzerland,21.0,Some college/university study without earning a degree,"Developer, back-end",Remote,35-44 years old,100 to 499 employees,C;Go;Groovy;Java;JavaScript;Kotlin;Python;Scala;Swift;TypeScript,210788.0
Canada,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,100 to 499 employees,PHP;SQL;TypeScript,248250.0
Portugal,1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,HTML/CSS;JavaScript;PHP;SQL,18562.0
Argentina,6.0,Some college/university study without earning a degree,"Developer, front-end",Remote,25-34 years old,"10,000 or more employees",Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,39923.0
Netherlands,21.0,Some college/university study without earning a degree,"Developer, back-end","Hybrid (some remote, leans heavy to in-person)",45-54 years old,"Just me - I am a freelancer, sole proprietor, etc.",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,220428.0
United States of America,14.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,100 to 499 employees,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL,200000.0
Hungary,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",Remote,35-44 years old,Less than 20 employees,Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python,202416.0
Finland,20.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,"Hybrid (some remote, leans heavy to in-person)",35-44 years old,100 to 499 employees,HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript,98612.0
Germany,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,20 to 99 employees,C;C#;Go;HTML/CSS;JavaScript;Lua;PHP;TypeScript;Zig,69609.0
United States of America,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions","Hybrid (some remote, leans heavy to in-person)",35-44 years old,"10,000 or more employees",Python;R;SQL,260000.0
United Kingdom of Great Britain and Northern Ireland,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,"1,000 to 4,999 employees",C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,97682.0
Colombia,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,100 to 499 employees,Bash/Shell (all shells);Go;HTML/CSS;Python;Ruby;SQL,140000.0
Canada,27.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Product manager,"Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,"10,000 or more employees",Bash/Shell (all shells);PowerShell;Python;SQL,98494.0
United States of America,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",Remote,35-44 years old,"10,000 or more employees",HTML/CSS;JavaScript;TypeScript,135000.0
Switzerland,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist,Remote,25-34 years old,"Just me - I am a freelancer, sole proprietor, etc.",C++;HTML/CSS;JavaScript;Python;Rust,61996.0
Israel,25.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,"Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"5,000 to 9,999 employees",C;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;Python,58828.0
United Kingdom of Great Britain and Northern Ireland,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,"Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,20 to 99 employees,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;Scala;SQL,91215.0
Germany,8.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"10,000 or more employees",Assembly;Bash/Shell (all shells);C;C++;Groovy;Java;Lua;Perl;Python;Rust,104413.0
Germany,12.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile","Hybrid (some remote, leans heavy to in-person)",35-44 years old,500 to 999 employees,Dart;Kotlin;Swift;TypeScript,107894.0
Ireland,28.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",45-54 years old,500 to 999 employees,C#;Delphi;Java;Kotlin;PowerShell;Python;R;SQL,92812.0
United States of America,24.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",Remote,55-64 years old,"1,000 to 4,999 employees",HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,80000.0
Belgium,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",AI/ML engineer,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,"5,000 to 9,999 employees",Assembly;C#;Delphi;Erlang;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;SQL;Swift;TypeScript;VBA;Zig;Mojo,150819.0
United States of America,8.0,Some college/university study without earning a degree,Data or business analyst,In-person,25-34 years old,100 to 499 employees,Python;SQL;VBA,60000.0
Netherlands,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,20 to 99 employees,C#,51274.0
United States of America,17.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions",Remote,35-44 years old,"10,000 or more employees",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,140000.0
United States of America,42.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions",Remote,55-64 years old,"10,000 or more employees",C;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL,140000.0
Canada,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,100 to 499 employees,HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,145917.0
Sweden,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Applied scientist,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,"1,000 to 4,999 employees",MATLAB;Python;R,83531.0
United States of America,20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,45-54 years old,100 to 499 employees,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;TypeScript,162000.0
Sweden,20.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Architect, software or solutions","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,Bash/Shell (all shells);C#;C++;PowerShell;SQL,83857.0
Morocco,1.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,18-24 years old,"10,000 or more employees",GDScript;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,12533.0
Spain,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",Remote,35-44 years old,100 to 499 employees,HTML/CSS;JavaScript;TypeScript,63808.0
United States of America,38.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,55-64 years old,100 to 499 employees,C#;Java;JavaScript;Python;SQL;TypeScript,150000.0
United States of America,11.0,Some college/university study without earning a degree,"Developer, back-end",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,135000.0
France,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,35-44 years old,Less than 20 employees,Bash/Shell (all shells);Elixir;HTML/CSS;Python;Rust;Gleam,52207.0
Poland,13.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"1,000 to 4,999 employees",JavaScript;SQL;TypeScript,109160.0
Mexico,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",In-person,25-34 years old,"10,000 or more employees",HTML/CSS;JavaScript;PHP;SQL,12633.0
Switzerland,45.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Other (please specify):,"Hybrid (some in-person, leans heavy to flexibility)",55-64 years old,100 to 499 employees,HTML/CSS;Java;Kotlin;Scala,223187.0
United Kingdom of Great Britain and Northern Ireland,20.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"1,000 to 4,999 employees",C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,106190.0
United Kingdom of Great Britain and Northern Ireland,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Python;SQL,76512.0
France,2.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL,23203.0
United Kingdom of Great Britain and Northern Ireland,3.0,Some college/university study without earning a degree,"Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",18-24 years old,500 to 999 employees,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL,81685.0
United States of America,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,18-24 years old,100 to 499 employees,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,106000.0
Germany,13.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Other (please specify):,"Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"10,000 or more employees",HTML/CSS;JavaScript;Python;SQL,139218.0
United States of America,1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",Remote,18-24 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL;Swift,100000.0
Spain,25.0,Primary/elementary school,"Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,Less than 20 employees,HTML/CSS;JavaScript;PHP;Python,20883.0
United States of America,22.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,"10,000 or more employees",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,250000.0
United Kingdom of Great Britain and Northern Ireland,21.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,500 to 999 employees,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,74878.0
United States of America,29.0,Some college/university study without earning a degree,"Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,Less than 20 employees,C;C++;Perl;PowerShell;SQL,210000.0
Brazil,13.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,35-44 years old,20 to 99 employees,Java;SQL,24211.0
India,1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,18-24 years old,100 to 499 employees,Dart;HTML/CSS;JavaScript;TypeScript,11624.0
Spain,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,"1,000 to 4,999 employees",C#;Elixir;F#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;Gleam,127616.0
Sweden,20.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,45-54 years old,100 to 499 employees,Java;Kotlin;SQL,84277.0
United States of America,40.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions",In-person,55-64 years old,100 to 499 employees,C++;HTML/CSS;Java;JavaScript;SQL,175000.0
Greece,17.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,Less than 20 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,52207.0
United States of America,27.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,Remote,45-54 years old,20 to 99 employees,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Lua;Python;SQL,250000.0
Ireland,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,25-34 years old,20 to 99 employees,C#;HTML/CSS;TypeScript,116015.0
Netherlands,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;Rust;TypeScript,63808.0
United States of America,13.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",Remote,25-34 years old,"10,000 or more employees",Bash/Shell (all shells);JavaScript;Python;Rust;SQL;TypeScript,100000.0
France,6.0,"Associate degree (A.A., A.S., etc.)",System administrator,"Hybrid (some remote, leans heavy to in-person)",25-34 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Scala,46406.0
Canada,23.0,Some college/university study without earning a degree,"Senior executive (C-suite, VP, etc.)","Hybrid (some remote, leans heavy to in-person)",35-44 years old,Less than 20 employees,C;C#;Go;HTML/CSS;Java;JavaScript;PHP;Rust;SQL;Swift;TypeScript,109438.0
Netherlands,30.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Cloud infrastructure engineer,Remote,45-54 years old,"10,000 or more employees",Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,75410.0
Italy,30.0,Some college/university study without earning a degree,"Developer, desktop or enterprise applications","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,Less than 20 employees,C#;SQL,34804.0
Nepal,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,In-person,25-34 years old,20 to 99 employees,Bash/Shell (all shells);JavaScript;Python;Swift;TypeScript,14544.0
Switzerland,21.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Other (please specify):,"Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);C;C++;Fortran;HTML/CSS;MATLAB;Python,164911.0
